year,exporter,importer,hs6,trade_value,distance,pci,gdp_ex,pop_ex,internet_ex,gdp_im,pop_im,internet_im,tariff,legal_ex,legal_im,same_legal,ln_trade_value,log_distance,ln_gdp_ex,ln_gdp_im,ln_pop_ex,ln_pop_im
2018,THA,KWT,210690,1557727.7650000001,5666,0.198,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.03567663137948073,uk,fr,0,14.258739398472757,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,OMN,020714,2229250.25,4666,0.823,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.052593914014335275,uk,uk,1,14.61717632472367,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,160100,0.0,4666,-0.231,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.08346590042851329,uk,uk,1,0.0,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,160232,284375.64,4666,0.287,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.0704723026098962,uk,uk,1,12.55805483570369,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,040210,0.0,4666,-0.534,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.05077207962772586,uk,uk,1,0.0,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,190531,0.0,4666,-0.298,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.09565940526113312,uk,uk,1,0.0,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,200599,269930.4835,4666,0.145,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.029529140491285855,uk,uk,1,12.505923440961958,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,210390,162094.76,4666,0.421,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.05090025079493054,uk,uk,1,11.995942550688277,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,OMN,210690,1557727.7650000001,4666,0.198,506754208404.485,71376079.0,56.8175,91505851755.5267,4597877.0,85.5,0.06129065806111683,uk,uk,1,14.258739398472757,8.448057452581375,26.951291926939618,25.239668760795254,18.083473343164187,15.341105233186255
2018,THA,QAT,020714,3422777.68,5288,0.823,506754208404.485,71376079.0,56.8175,183335164835.165,2580734.0,99.6528,0.07384979779038503,uk,fr,0,15.045963258688127,8.573195381531523,26.951291926939618,25.93458181646491,18.083473343164187,14.763584412560483
